eco_id	eco_name	slug	oneearth_title	match_type	score
168	Eastern Australian temperate forests	eastern-australian-temperate-forests	Eastern Australian Temperate Forests	norm_exact	1.0000
169	Fiordland temperate forests	fiordland-temperate-forests	Fiordland Temperate Forests	norm_exact	1.0000
170	Nelson Coast temperate forests	nelson-coast-temperate-forests	Nelson Coast Temperate Forests	norm_exact	1.0000
171	New Zealand North Island temperate forests	new-zealand-north-island-temperate-forests	New Zealand North Island Temperate Forests	norm_exact	1.0000
172	New Zealand South Island temperate forests	new-zealand-south-island-temperate-forests	New Zealand South Island Temperate Forests	norm_exact	1.0000
173	Northland temperate kauri forests	northland-temperate-kauri-forests	Northland Temperate Kauri Forests	norm_exact	1.0000
174	Rakiura Island temperate forests	rakiura-island-temperate-forests	Rakiura Island Temperate Forests	norm_exact	1.0000
175	Richmond temperate forests	richmond-temperate-forests	Richmond Temperate Forests	norm_exact	1.0000
176	Southeast Australia temperate forests	southeast-australia-temperate-forests	Southeast Australia Temperate Forests	norm_exact	1.0000
177	Tasmanian Central Highland forests	tasmanian-central-highland-forests	Tasmanian Central Highland Forests	norm_exact	1.0000
178	Tasmanian temperate forests	tasmanian-temperate-forests	Tasmanian Temperate Forests	norm_exact	1.0000
179	Tasmanian temperate rain forests	tasmanian-temperate-rainforests	Tasmanian Temperate Rainforests	norm_exact	1.0000
180	Westland temperate forests	westland-temperate-forests	Westland Temperate Forests	norm_exact	1.0000
181	Arnhem Land tropical savanna	arnhem-land-tropical-savanna	Arnhem Land Tropical Savanna	norm_exact	1.0000
182	Brigalow tropical savanna	brigalow-tropical-savanna	Brigalow Tropical Savanna	norm_exact	1.0000
183	Cape York Peninsula tropical savanna	cape-york-peninsula-tropical-savanna	Cape York Peninsula Tropical Savanna	norm_exact	1.0000
184	Carpentaria tropical savanna	carpentaria-tropical-savanna	Carpentaria Tropical Savanna	norm_exact	1.0000
185	Einasleigh upland savanna	einasleigh-upland-savanna	Einasleigh Upland Savanna	norm_exact	1.0000
186	Kimberly tropical savanna	kimberly-tropical-savanna	Kimberly Tropical Savanna	norm_exact	1.0000
187	Mitchell Grass Downs	mitchell-grass-downs	Mitchell Grass Downs	norm_exact	1.0000
188	Trans Fly savanna and grasslands	trans-fly-savanna-and-grasslands	Trans Fly Savanna and Grasslands	norm_exact	1.0000
189	Victoria Plains tropical savanna	victoria-plains-tropical-savanna	Victoria Plains Tropical Savanna	norm_exact	1.0000
190	Canterbury-Otago tussock grasslands	canterbury-otago-tussock-grasslands	Canterbury-Otago Tussock Grasslands	norm_exact	1.0000
191	Eastern Australia mulga shrublands	eastern-australia-mulga-shrublands	Eastern Australia Mulga Shrublands	norm_exact	1.0000
192	Southeast Australia temperate savanna	southeast-australia-temperate-savanna	Southeast Australia Temperate Savanna	norm_exact	1.0000
193	Australian Alps montane grasslands	australian-alps-montane-grasslands	Australian Alps Montane Grasslands	norm_exact	1.0000
194	New Zealand South Island montane grasslands	new-zealand-south-island-montane-grasslands	New Zealand South Island Montane Grasslands	norm_exact	1.0000
195	Papuan Central Range sub-alpine grasslands	papuan-central-range-sub-alpine-grasslands	Papuan Central Range Sub-Alpine Grasslands	norm_exact	1.0000
196	Antipodes Subantarctic Islands tundra	antipodes-subantarctic-islands-tundra	Antipodes Subantarctic Islands Tundra	norm_exact	1.0000
197	Coolgardie woodlands	coolgardie-woodlands	Coolgardie Woodlands	norm_exact	1.0000
