id	title	title_source	title_uri	ccodes	matches	names	types	aat_types	parent_name	parent_id	lon	lat	geowkt	geo_source	geo_id	start	end
85067	Ilhéus			BR	dbp:Ilhéus;wd:Q22063064;gn:6320871;tgn:1021621	Ilhéus;Ilheus;São Jorge dos Ilhéos	inhabited places				-39.0489	-14.7889	POINT (-39.0489 -14.7889)		dbp:Ilhéus	1500	1800
85068	Ili					Ili	region									1600	1914
85069	Ili				wd:Q192567;viaf:234247121;gn:1516432;tgn:1124851	Ili	river				74.0558	45.337313	POINT (74.0558 45.337313)		wd:Q192567	-206	220
85070	Ilipa			ES	dbp:Ilipa	Ilipa	inhabited places				-5.97833	37.5183	POINT (-5.97833 37.5183)		dbp:Ilipa	-264	-201
85071	Ilissos			GR	dbp:Ilisos;wd:Q1658567	Ilissos	river				23.6808	37.9397	POINT (23.6808 37.9397)		dbp:Ilisos	-600	200
85072	Illiberis			ES	dbp:Elne;tgn:7007703	Illiberis;Elne	inhabited places				2.971	42.5997	POINT (2.971 42.5997)		dbp:Elne	600	600
85073	Illichpur			IN	dbp:Achalpur	Illichpur	inhabited places				77.5086	21.2572	POINT (77.5086 21.2572)		dbp:Achalpur	1526	1707
85074	Illinois			US	loc:n79053746;gn:4896861;viaf:138972861;wd:Q1204;dbp:Illinois;tgn:7007251	Illinois	state				-89	40	POINT (-89 40)		tgn:7007251	1783	1896
85075	Illinois				dbp:Illinois	Illinois	cultural group				-88.3802	41.2782	POINT (-88.3802 41.2782)		dbp:Illinois	1600	1750
85076	Illummersuit			GL		Illummersuit	inhabited places									700	1500
85077	Illutalik			GL		Illutalik	inhabited places									700	1500
85078	Illyria			GR	dbp:Illyria	Illyria	region									-360	-320
85079	Illyrian Provinces				dbp:Illyrian_Provinces	Illyrian Provinces	nation									1812	1812
85080	Illyrians				dbp:Illyrians	Illyrians	cultural group									-200	-120
85081	Illyricum					Illyricum	region;province									-200	-120
85082	Ilorin			NG	dbp:Ilorin;tgn:7000502	Ilorin	inhabited places				4.5667	8.5333	POINT (4.5667 8.533300000000001)		tgn:7000502	1800	1900
85083	Ilorin, Emirate of					Ilorin, Emirate of	nation									1800	1900
85084	Ilva			IT	dbp:Elba;wd:Q45328;viaf:315127737;gn:3177426;loc:sh85041527;tgn:7006197;whg:83811	Ilva;Elba	island				10.2408	42.7618	POINT (10.2408 42.7618)		dbp:Elba	-240	-240
85085	Ilyas Shahis					Ilyas Shahis	cultural group									1206	1526
85086	Imagawa			JP	dbp:Imagawa_clan	Imagawa	region									1467	1598
85087	Imola			IT	wd:Q50195;viaf:235115205;gn:6541032;dbp:Imola;tgn:7004864	Imola	inhabited places				11.7	44.35	POINT (11.7 44.35)		tgn:7004864	1150	1310
85088	Imperial City			CN		Imperial City	inhabited places									700	800
85089	Imperial Fora			IT	dbp:Imperial_fora	Imperial Fora	inhabited places									300	300
